VAL;ST;Len;Type;Min;Max;Description
VAL;PID;4;N;3.0;44.0;patient_3.0_44.0
VAL;PID;4;N;44.0;85.8;patient_44.0_85.8
VAL;PID;5;N;85.8;120.6;patient_85.8_120.6
VAL;PID;5;N;120.6;206.0;patient_120.6_206.0
VAL;PID;5;N;206.0;380.0;patient_206.0_380.0
NAME;PID;5;N;;;patient
VAL;VST;3;N;1.0;1.0;visit_1.0_1.0
VAL;VST;3;N;2.0;2.0;visit_2.0_2.0
VAL;VST;3;N;3.0;3.0;visit_3.0_3.0
NAME;VST;3;N;;;visit
VAL;A15;5;N;20.9;70.43;1-5-anhydroglucitol_20.9_70.43
VAL;A15;5;N;70.43;85.89;1-5-anhydroglucitol_70.43_85.89
VAL;A15;6;N;85.89;105.11;1-5-anhydroglucitol_85.89_105.11
VAL;A15;6;N;105.11;130.74;1-5-anhydroglucitol_105.11_130.74
VAL;A15;6;N;130.74;261.25;1-5-anhydroglucitol_130.74_261.25
NAME;A15;6;N;;;1-5-anhydroglucitol
VAL;A1ME;3;N;0.0;0.0;1-methyladenosine_0.0_0.0
NAME;A1ME;3;N;;;1-methyladenosine
VAL;A1MHMS;4;N;0.01;0.02;1-methylhistidine-ms_0.01_0.02
VAL;A1MHMS;4;N;0.02;0.03;1-methylhistidine-ms_0.02_0.03
VAL;A1MHMS;4;N;0.03;0.03;1-methylhistidine-ms_0.03_0.03
VAL;A1MHMS;4;N;0.03;0.04;1-methylhistidine-ms_0.03_0.04
VAL;A1MHMS;4;N;0.04;0.19;1-methylhistidine-ms_0.04_0.19
NAME;A1MHMS;4;N;;;1-methylhistidine-ms
VAL;A1MHMU;4;N;0.18;0.78;1-methylhistidine-mu_0.18_0.78
VAL;A1MHMU;4;N;0.78;1.18;1-methylhistidine-mu_0.78_1.18
VAL;A1MHMU;4;N;1.18;1.61;1-methylhistidine-mu_1.18_1.61
VAL;A1MHMU;4;N;1.61;2.54;1-methylhistidine-mu_1.61_2.54
VAL;A1MHMU;5;N;2.54;13.06;1-methylhistidine-mu_2.54_13.06
NAME;A1MHMU;5;N;;;1-methylhistidine-mu
VAL;A1MHNU;4;N;0.0;31.0;1-methylhistidine-nu_0.0_31.0
NAME;A1MHNU;4;N;;;1-methylhistidine-nu
VAL;A1MN;4;N;0.0;4.86;1-methylnicotinamide_0.0_4.86
VAL;A1MN;4;N;4.86;6.73;1-methylnicotinamide_4.86_6.73
VAL;A1MN;5;N;6.73;21.55;1-methylnicotinamide_6.73_21.55
NAME;A1MN;5;N;;;1-methylnicotinamide
VAL;A2AB;4;N;0.0;0.04;2-aminobutyric-acid_0.0_0.04
VAL;A2AB;4;N;0.04;0.06;2-aminobutyric-acid_0.04_0.06
VAL;A2AB;4;N;0.06;0.11;2-aminobutyric-acid_0.06_0.11
NAME;A2AB;4;N;;;2-aminobutyric-acid
VAL;A2FG;4;N;0.0;2.99;2-furoylglycine_0.0_2.99
VAL;A2FG;4;N;2.99;42.0;2-furoylglycine_2.99_42.0
NAME;A2FG;4;N;;;2-furoylglycine
VAL;A2HB;4;N;0.0;0.01;2-hydroxybutyric-acid_0.0_0.01
VAL;A2HB;4;N;0.01;0.02;2-hydroxybutyric-acid_0.01_0.02
VAL;A2HB;4;N;0.02;0.09;2-hydroxybutyric-acid_0.02_0.09
VAL;A2HB;4;N;0.09;0.42;2-hydroxybutyric-acid_0.09_0.42
NAME;A2HB;4;N;;;2-hydroxybutyric-acid
VAL;A2HI;7;N;13.65;2159.83;2-hydroxyisovalericacid_13.65_2159.83
VAL;A2HI;7;N;2159.83;2917.84;2-hydroxyisovalericacid_2159.83_2917.84
VAL;A2HI;7;N;2917.84;3865.85;2-hydroxyisovalericacid_2917.84_3865.85
VAL;A2HI;7;N;3865.85;5806.23;2-hydroxyisovalericacid_3865.85_5806.23
